fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,cases,deaths,metrics.deathrate,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,fully_vaccinated,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
6041,US,CA,Marin County,county,,iso1:us#iso2:us-ca#fips:06041,,258826,0.025,other,6.6,,0.82,0.3,,,0.67,1,0,1,4,0,,0,17200,242,0.014069767,,,,321,278,14,,33,22,5,,0,,213159,199627,2021/9/27,https://covidactnow.org/us/california-ca/county/marin_county,0.824,0.771,0,409755,1
6043,US,CA,Mariposa County,county,,iso1:us#iso2:us-ca#fips:06043,,17203,,other,49.8,,0.79,0.52,,,,3,4,3,4,0,,4,1027,13,0.012658228,,,,8,4,0,,,,0,,0,,8686,6115,2021/9/27,https://covidactnow.org/us/california-ca/county/mariposa_county,0.505,0.355,0,14409,3
6045,US,CA,Mendocino County,county,,iso1:us#iso2:us-ca#fips:06045,,86749,0.098,other,27.2,,0.8,0.24,,,0.84,3,1,3,4,0,,2,6984,76,0.010882016,,,,105,87,23,,15,12,6,,0,,57747,50610,2021/9/27,https://covidactnow.org/us/california-ca/county/mendocino_county,0.666,0.583,0,106643,3
6047,US,CA,Merced County,county,,iso1:us#iso2:us-ca#fips:06047,,277680,0.094,other,42.6,,0.99,0.13,,,0.81,3,1,3,4,1,,2,40120,552,0.013758724,,,,227,168,39,,24,19,11,,161,,137061,110590,2021/9/27,https://covidactnow.org/us/california-ca/county/merced_county,0.494,0.398,0,243427,3
6049,US,CA,Modoc County,county,,iso1:us#iso2:us-ca#fips:06049,,8841,,other,59.8,,1,0.75,,,,3,4,3,4,1,,4,705,8,0.011347518,,,,12,9,0,,,,0,,0,,3570,3269,2021/9/27,https://covidactnow.org/us/california-ca/county/modoc_county,0.404,0.37,0,6498,3
6051,US,CA,Mono County,county,,iso1:us#iso2:us-ca#fips:06051,,14444,,other,20.8,,1.14,0.8,,,,2,4,2,4,2,,4,1514,5,0.00330251,,,,17,3,1,,2,0,0,,0,,9188,8434,2021/9/27,https://covidactnow.org/us/california-ca/county/mono_county,0.636,0.584,0,17471,3
6053,US,CA,Monterey County,county,,iso1:us#iso2:us-ca#fips:06053,,434061,0.032,other,9.5,,0.85,0.17,,,0.65,1,1,1,4,0,,0,49733,573,0.011521525,,,,633,434,34,,50,32,8,,0,,290677,259276,2021/9/27,https://covidactnow.org/us/california-ca/county/monterey_county,0.67,0.597,0,533188,2
6055,US,CA,Napa County,county,,iso1:us#iso2:us-ca#fips:06055,,137744,0.032,other,11,,0.74,0.3,,,0.9,2,1,2,4,0,,3,12353,95,0.00769044,,,,135,119,20,,21,19,6,,0,,105213,93885,2021/9/27,https://covidactnow.org/us/california-ca/county/napa_county,0.764,0.682,0,196411,2
6057,US,CA,Nevada County,county,,iso1:us#iso2:us-ca#fips:06057,,99755,0.066,other,16,,0.68,0.28,,,0.97,2,1,2,4,0,,3,8568,85,0.009920635,,,,101,83,20,,10,9,6,,0,,61259,54494,2021/9/27,https://covidactnow.org/us/california-ca/county/nevada_county,0.614,0.546,0,114228,3
6059,US,CA,Orange County,county,,iso1:us#iso2:us-ca#fips:06059,,3175692,0.034,other,12.1,,0.93,0.1,,,0.78,2,1,2,4,1,,1,316221,5384,0.017026067,,,,4853,3769,302,,546,427,89,,447,,2159282,1975323,2021/9/27,https://covidactnow.org/us/california-ca/county/orange_county,0.68,0.622,0,4072373,2
6061,US,CA,Placer County,county,,iso1:us#iso2:us-ca#fips:06061,,398329,0.066,other,32.8,,0.85,0.14,,,0.88,3,1,3,4,0,,3,37033,367,0.00991008,,,,814,737,172,,92,81,46,,103,,246637,226376,2021/9/27,https://covidactnow.org/us/california-ca/county/placer_county,0.619,0.568,0,466781,3
6063,US,CA,Plumas County,county,,iso1:us#iso2:us-ca#fips:06063,,18807,,other,25.8,,0.74,0.51,,,,3,4,3,4,0,,4,1267,6,0.004735596,,,,32,14,3,,,,0,,0,,10095,9193,2021/9/27,https://covidactnow.org/us/california-ca/county/plumas_county,0.537,0.489,0,18282,3
6065,US,CA,Riverside County,county,,iso1:us#iso2:us-ca#fips:06065,,2470546,0.064,other,22.4,,,,,,0.82,2,1,2,4,4,,2,360058,4951,0.013750562,,,,3185,2564,431,,398,327,126,,517,,1371779,1213474,2021/9/27,https://covidactnow.org/us/california-ca/county/riverside_county,0.555,0.491,0,2544475,3
6067,US,CA,Sacramento County,county,,iso1:us#iso2:us-ca#fips:06067,,1552058,0.054,other,20.3,,0.83,0.1,,,0.92,2,1,2,4,0,,3,151658,2138,0.014097509,,,,2366,2089,310,,302,277,79,,195,,955941,866099,2021/9/27,https://covidactnow.org/us/california-ca/county/sacramento_county,0.616,0.558,0,1792197,3
6069,US,CA,San Benito County,county,,iso1:us#iso2:us-ca#fips:06069,,62808,0.03,other,6.6,,0.63,0.48,,,1,1,0,1,4,0,,3,7114,67,0.009418049,,,,25,20,3,,4,4,2,,0,,41035,36368,2021/9/27,https://covidactnow.org/us/california-ca/county/san_benito_county,0.653,0.579,0,75028,1
6071,US,CA,San Bernardino County,county,,iso1:us#iso2:us-ca#fips:06071,,2180085,0.052,other,22.3,,0.9,0.1,,,0.76,2,1,2,4,0,,1,349047,5540,0.015871788,,,,3245,2717,410,,468,356,130,,475,,1145576,1018122,2021/9/27,https://covidactnow.org/us/california-ca/county/san_bernardino_county,0.525,0.467,0,2116985,3
6073,US,CA,San Diego County,county,,iso1:us#iso2:us-ca#fips:06073,,3338330,0.033,other,19.4,,0.88,0.1,,,0.77,2,1,2,4,0,,1,368852,4039,0.010950191,,,,5639,4295,436,,592,457,142,,885,,2429873,2144451,2021/9/27,https://covidactnow.org/us/california-ca/county/san_diego_county,0.728,0.642,0,4410852,3
6075,US,CA,San Francisco County,county,,iso1:us#iso2:us-ca#fips:06075,,881549,0.02,other,12.1,,0.89,0.14,,,0.74,2,0,2,4,0,,1,52331,615,0.011752116,,,,2125,1554,68,,253,187,23,,106,,698296,651165,2021/9/27,https://covidactnow.org/us/california-ca/county/san_francisco_county,0.792,0.739,0,1317742,2
6077,US,CA,San Joaquin County,county,,iso1:us#iso2:us-ca#fips:06077,,762148,0.068,other,33.4,,0.94,0.1,,,0.97,3,1,3,4,1,,3,98351,1641,0.016685138,,,,1138,1024,268,,138,134,94,,263,,435634,374240,2021/9/27,https://covidactnow.org/us/california-ca/county/san_joaquin_county,0.572,0.491,0,800094,3
